sgg_cd,apt_seq,exclu_use_ar,area_status,kapt_code,kapt_area,households,group_id,group_label,group_areas,apt_nm
11470,11470-4015,59.98,면적 매칭,A15807701,59.98,73,59.98,60,59.98,세양청마루
11470,11470-4015,84.98,면적 매칭,A15807701,84.98,253,84.98,85,84.98,세양청마루
11470,11470-4021,73.88,K-apt 면적정보 없음,,,,73.88,74,73.88,주함헤븐103동
11470,11470-4023,73.84,K-apt 면적정보 없음,,,,73.84,74,73.84,주함헤븐101동
11470,11470-4024,59.98,면적 매칭,A15883201,59.98,40,59.98,60,59.98|59.99,양천벽산블루밍1단지
11470,11470-4024,59.99,면적 매칭,A15883201,59.99,128,59.98,60,59.98|59.99,양천벽산블루밍1단지
11470,11470-4024,76.53,면적 매칭,A15883201,76.53,44,76.53,77,76.53,양천벽산블루밍1단지
11470,11470-4024,84.63,면적 매칭,A15883201,84.63,63,84.63,85,84.63|84.77,양천벽산블루밍1단지
11470,11470-4024,84.77,면적 매칭,A15883201,84.77,210,84.63,85,84.63|84.77,양천벽산블루밍1단지
11470,11470-4025,59.98,K-apt 면적정보 없음,,,,59.98,60,59.98|59.99,양천벽산블루밍2단지
11470,11470-4025,59.99,K-apt 면적정보 없음,,,,59.98,60,59.98|59.99,양천벽산블루밍2단지
11470,11470-4025,76.53,K-apt 면적정보 없음,,,,76.53,77,76.53,양천벽산블루밍2단지
11470,11470-4025,84.63,K-apt 면적정보 없음,,,,84.63,85,84.63|84.77,양천벽산블루밍2단지
11470,11470-4025,84.77,K-apt 면적정보 없음,,,,84.63,85,84.63|84.77,양천벽산블루밍2단지
11470,11470-4026,84.77,K-apt 면적정보 없음,,,,84.77,85,84.77,양천벽산블루밍3단지
11470,11470-4028,78.65,K-apt 면적정보 없음,,,,78.65,79,78.65,삼익2차플라주
11470,11470-4043,74.73,K-apt 면적정보 없음,,,,74.73,75,74.73,아름다운세상
11470,11470-4045,102.718,면적 매칭,A15805111,102.718,30,102.718,103,102.718,하이페리온2
11470,11470-4045,119.369,면적 매칭,A15805111,119.369,34,119.369,120,119.369|119.523,하이페리온2
