sgg_cd,apt_seq,exclu_use_ar,area_status,kapt_code,kapt_area,households,group_id,group_label,group_areas,apt_nm
11470,11470-5010,83.75,K-apt 면적정보 없음,,,,83.25,83,83.25|83.43|83.75,수명산그린시아
11470,11470-5095,57.2,K-apt 면적정보 없음,,,,57.2,57,57.2,태산
11470,11470-5141,84.9808,면적 매칭,A10027849,84.9808,56,84.9808,85,84.9808|84.9914,목동센트럴푸르지오
11470,11470-5141,84.9914,면적 매칭,A10027849,84.9914,56,84.9808,85,84.9808|84.9914,목동센트럴푸르지오
11470,11470-5141,110.3387,면적 매칭,A10027849,110.3387,46,110.3387,110,110.3387,목동센트럴푸르지오
11470,11470-5141,118.8208,면적 매칭,A10027849,118.8208,46,118.8208,119,118.8208,목동센트럴푸르지오
11470,11470-5160,50.3,K-apt 면적정보 없음,,,,50.3,50,50.3,리슈리안
11470,11470-5160,51.65,K-apt 면적정보 없음,,,,51.65,52,51.65,리슈리안
11470,11470-5160,52.74,K-apt 면적정보 없음,,,,52.74,53,52.74,리슈리안
11470,11470-5215,46.797,K-apt 면적정보 없음,,,,46.797,47,46.797|47.664,CG아름채목동아파트
11470,11470-5215,47.664,K-apt 면적정보 없음,,,,46.797,47,46.797|47.664,CG아름채목동아파트
11470,11470-5215,49.589,K-apt 면적정보 없음,,,,49.589,50,49.589,CG아름채목동아파트
