aptSeq,aptNm,umdNm,road_key,jibun_key,거래건수,kaptCode,kaptName,matched_by
11680-15,신사동씨티빌,신사동,강남대로162길 27-26,신사동 523-4,2,,,none
11680-686,한티(933-0),대치동,도곡로73길 18,대치동 933,2,,,none
11680-436,연세리버테라스,청담동,선릉로190길 64,청담동 102,2,,,none
11680-599,우림루미아트,삼성동,봉은사로81길 8,삼성동 75-3,2,,,none
11680-3881,청담파라곤Ⅱ2단지,청담동,선릉로190길 68,청담동 102-13,2,,,none
11680-602,하이캐슬102동,대치동,삼성로64길 36,대치동 986,2,,,none
11680-494,우정에쉐르멤버스,역삼동,선릉로87길 14,역삼동 708-31,2,,,none
11680-589,울트라멤버스,도곡동,남부순환로381길 25,도곡동 162-4,2,,,none
11680-266,로얄빌리지,역삼동,테헤란로21길 18,역삼동 644-6,2,,,none
11680-61,청담힐(에이동)진도(비동),청담동,압구정로77길 36,청담동 113,2,,,none
11680-3672,신성미소시티,대치동,역삼로 451,대치동 904-10,2,,,none
11680-3628,블루밍하우스,삼성동,학동로82길 25,삼성동 64-4,2,,,none
11680-4197,삼성동라테라스,삼성동,봉은사로 645,삼성동 110-2,2,,,none
11680-463,노블카운티,역삼동,도곡로19길 13,역삼동 794-24,2,,,none
11680-3844,로체샤르캐슬,논현동,언주로136길 16,논현동 114-23,2,,,none
11680-3879,도곡지웰카운티101동,도곡동,남부순환로373길 3,도곡동 199-4,2,,,none
11680-24,구산,청담동,도산대로101길 34,청담동 128-1,2,,,none
11680-355,도곡현대힐스테이트103동,도곡동,남부순환로379길 19,도곡동 183-8,2,,,none
11680-3660,우찬현대(1260-2),개포동,개포로31길 9-9,개포동 1260-2,2,,,none
11680-567,현대아이리스1,도곡동,도곡로6길 14,도곡동 944-5,2,,,none
11680-670,새롬(1164-12),개포동,논현로2길 34,개포동 1164-12,2,,,none
11680-689,대치하나빌,대치동,삼성로57길 37-5,대치동 1015-6,2,,,none
11680-97,청담매스터빌,청담동,도산대로81길 69,청담동 141-1,2,,,none
11680-4763,이지마루역삼,역삼동,테헤란로27길 8-14,역삼동 678-27,2,,,none
11680-3958,이산,논현동,논현로111길 34,논현동 194-22,2,,,none
11680-483,청담그랑빌,청담동,학동로77길 5,청담동 46-5,1,,,none
11680-3577,대우멤버스카운티501,삼성동,봉은사로55길 36,삼성동 33-22,1,,,none
11680-3661,우찬현대(1260-4),개포동,개포로31길 9-5,개포동 1260-4,1,,,none
11680-683,대치타워,대치동,삼성로71길 11-8,대치동 914-8,1,,,none
11680-90,호원빌라,청담동,압구정로75길 15,청담동 115-17,1,,,none
11680-3659,이니그마빌-III,도곡동,남부순환로373길 21,도곡동 201,1,,,none
11680-521,이안애2차,삼성동,테헤란로77길 27,삼성동 130-6,1,,,none
11680-3755,리갈팰리스,신사동,도산대로35길 46,신사동 626,1,,,none
11680-3479,도곡하이빌,도곡동,남부순환로363길 9-6,도곡동 919-3,1,,,none
11680-3673,신사아이빌(522),신사동,압구정로2길 15,신사동 522,1,,,none
11680-230,메트로,대치동,삼성로75길 34,대치동 901-51,1,,,none
11680-444,논현아트빌,논현동,논현로124길 7,논현동 215-14,1,,,none
11680-518,삼성오네뜨,삼성동,테헤란로79길 42,삼성동 127-5,1,,,none
11680-675,아노스카운트빌라트,청담동,도산대로61길 13,청담동 90-17,1,,,none
11680-3685,상지리츠빌카일룸2차,청담동,압구정로79길 87,청담동 128-18,1,,,none
11680-479,포이벨리,개포동,양재대로 379,개포동 1164-28,1,,,none
11680-706,PLUMHILLS,도곡동,남부순환로373길 26,도곡동 193-67,1,,,none
11680-263,역삼카이스아파트,역삼동,도곡로7길 23,역삼동 836-35,1,,,none
11680-544,청림빌,신사동,논현로153길 42,신사동 555-11,1,,,none
11680-595,우정에쉐르3,역삼동,언주로86길 25,역삼동 707-15,1,,,none
11680-511,그라나다,삼성동,선릉로112길 74,삼성동 45-5,1,,,none
11680-1,강남상가,신사동,압구정로2길 46,신사동 510-11,1,,,none
11680-570,청담대우멤버스카운티7차,청담동,도산대로85길 50-14,청담동 110-3,1,,,none
11680-366,도곡현대힐스테이트102동,도곡동,남부순환로377길 18,도곡동 183-7,1,,,none
11680-3861,로덴하우스이스트빌리지,도곡동,남부순환로378길 9,도곡동 462-1,1,,,none
11680-3670,프리우스역삼101동,역삼동,강남대로94길 51-14,역삼동 636-33,1,,,none
11680-4862,청담어퍼하우스,청담동,학동로81길 28,청담동 64-1,1,,,none
11680-477,리더스,개포동,논현로2길 62,개포동 1164-25,1,,,none
11680-454,청담파크빌,청담동,학동로 437-5,청담동 46-12,1,,,none
11680-356,도곡현대힐스테이트101동,도곡동,남부순환로379길 15,도곡동 183,1,,,none
11680-49,씨티2차(202동),청담동,선릉로190길 90,청담동 104-13,1,,,none
11680-1327,(828-21),역삼동,테헤란로10길 25,역삼동 828-21,1,,,none
11680-3613,도곡푸르지오,도곡동,강남대로54길 6,도곡동 949-1,1,,,none
11680-231,세연파크뷰,대치동,삼성로63길 16-5,대치동 929-8,1,,,none
11680-3981,상지리츠빌카일룸(1009-4),대치동,도곡로 603,대치동 1009-4,1,,,none
11680-132,신동아,논현동,논현로118길 17,논현동 222-18,1,,,none
11680-441,요진보네르,논현동,학동로5길 20,논현동 46-3,1,,,none
11680-533,동민맥스빌A동,대치동,선릉로62길 38,대치동 938-11,1,,,none
11680-3863,빌폴라리스,청담동,압구정로79길 76,청담동 129-7,1,,,none
11680-326,럭키(462),도곡동,남부순환로 2740,도곡동 462,1,,,none
11680-370,상지리츠빌5B,청담동,도산대로101길 17-5,청담동 127-37,1,,,none
11680-235,네스빌(728-10),역삼동,테헤란로28길 47,역삼동 728-10,1,,,none
11680-40,삼호빌라씨동,청담동,도산대로83길 55,청담동 104-5,1,,,none
11680-5045,도곡루아르,도곡동,도곡로 128,도곡동 941-1,1,,,none
11680-432,지고하임(101동),논현동,학동로9길 21,논현동 44-8,1,,,none
11680-27,대우리츠카운티,청담동,도산대로83길 35,청담동 117-22,1,,,none
11680-3860,삼성동브라운스톤레전드,삼성동,선릉로 660,삼성동 8-2,1,,,none
11680-4218,엘에이치삼성도시형생활주택,삼성동,영동대로112길 46,삼성동 109-21,1,,,none
11680-3855,상지리츠빌카일룸3차,청담동,압구정로79길 72,청담동 129-16,1,,,none
11680-26,뉴현대리버빌,청담동,영동대로142길 7,청담동 130-10,1,,,none
11680-5257,아츠논현,논현동,언주로 624,논현동 249-9,1,,,none
11680-5272,원에디션강남,역삼동,언주로 563,역삼동 653-4,1,A10022749,원에디션강남,road
11680-548,압구정케이씨씨(622-1),신사동,언주로167길 9,신사동 622-1,1,,,none
11680-5042,효성빌라청담101(2차),청담동,압구정로75길 27,청담동 115-6,1,,,none
11680-3819,아델하우스,삼성동,학동로82길 29,삼성동 64-5,1,,,none
11680-3814,예지인,역삼동,테헤란로10길 42,역삼동 828-11,1,,,none
11680-712,도곡그린빌,도곡동,강남대로44길 24,도곡동 955,1,,,none
11680-681,삼부아파트(101동),삼성동,봉은사로111길 26,삼성동 99-13,1,,,none
11680-450,신동아빌라트,청담동,도산대로81길 61,청담동 141-6,1,,,none
11680-59,연세청담파크빌,청담동,삼성로140길 35,청담동 59-21,1,,,none
11680-179,세방타운하우스,삼성동,삼성로120길 21,삼성동 64-7,1,,,none
11680-534,동민맥스빌B동,대치동,도곡로69길 7,대치동 938-13,1,,,none
11680-368,삼호빌라B동,청담동,도산대로83길 49,청담동 113-23,1,,,none
11680-4399,강남한신휴플러스8단지,율현동,밤고개로27길 20,율현동 513,1,,,none
11680-3626,강남한솔,역삼동,도곡로19길 17,역삼동 794-19,1,,,none
11680-3690,논현프라임아파트,논현동,봉은사로11길 11,논현동 196-4,1,,,none
11680-298,개포현대6차,개포동,개포로15길 32-8,개포동 1242-2,1,,,none
11680-685,동양,대치동,선릉로72길 10-7,대치동 920-32,1,,,none
11680-410,역삼르비앙1,역삼동,도곡로11길 13,역삼동 835-12,1,,,none
11680-717,논현동프라임,논현동,논현로113길 5,논현동 192-3,1,,,none
11680-25,골든아트빌,청담동,삼성로135길 28,청담동 28-13,1,,,none
11680-3578,대우멤버스카운티301,삼성동,봉은사로57길 33,삼성동 33-24,1,,,none
11680-3176,학동,논현동,논현로124길 28,논현동 217-34,1,,,none
11680-553,케이씨빌,논현동,선릉로137길 20,논현동 104-23,1,,,none
11680-3583,삼성웰피아,삼성동,테헤란로77길 31,삼성동 130-2,1,,,none
11680-594,역삼엔스위트102동,역삼동,언주로103길 14,역삼동 656-31,1,,,none
11680-568,뉴현대,신사동,압구정로18길 14-14,신사동 550-5,1,,,none
11680-164,테크노빌라트,논현동,선릉로111길 38-16,논현동 271-6,1,,,none
11680-3697,선릉역풍림아이원레몬,대치동,테헤란로64길 13,대치동 890-54,1,,,none
11680-556,제이빌,논현동,학동로43길 30,논현동 108-2,1,,,none
11680-584,토미,신사동,논현로158길 17,신사동 593-32,1,,,none
11680-4863,강남웅진베어스빌,역삼동,도곡로 113,역삼동 838-10,1,,,none
11680-137,논현빌라트,논현동,선릉로137길 6,논현동 102-9,1,,,none
11680-84,현대빌라(43-1),청담동,선릉로132길 42,청담동 43-1,1,,,none
11680-260,풍림지오빌,역삼동,테헤란로5길 36,역삼동 635-5,1,,,none
11680-674,포이현대빌라트,개포동,논현로4길 50,개포동 1165,1,,,none
11680-431,비쥬힐,논현동,학동로21길 23,논현동 39-10,1,,,none
11680-509,대우멤버스카운티201,삼성동,봉은사로57길 37,삼성동 33-20,1,,,none
11680-6669,아크로삼성,삼성동,영동대로128길 15,삼성동 79,1,A13586602,삼성홍실,road
11680-663,에벤에셀빌라트,역삼동,언주로104길 35,역삼동 685-19,1,,,none
11680-233,거평빌라트,역삼동,도곡로17길 12,역삼동 794-28,1,,,none
11680-574,청담대우멤버스카운티9차,청담동,도산대로99길 28-7,청담동 110-7,1,,,none
11680-447,한양팰리스,대치동,삼성로61길 9,대치동 941-13,1,,,none
11680-449,상지리츠빌,개포동,개포로 405,개포동 176-1,1,,,none
11680-5267,에테르노청담,청담동,도산대로85길 50-13,청담동 106-7,1,,,none
11680-576,청담대우멤버스카운티12차,청담동,도산대로99길 30,청담동 110-11,1,,,none
11680-4871,BRUNNEN청담,청담동,도산대로99길 68,청담동 114-9,1,,,none
11680-3840,네오블로썸,삼성동,선릉로112길 47,삼성동 42-4,1,,,none
11680-99,이니그마빌2,청담동,도산대로61길 19,청담동 90-10,1,,,none
